_id,MonthYear,Station,Station_Type,Entry_Exit,Trip
400,2017-02,Albion Park Station,Train,Exit,5200
401,2017-03,Albion Park Station,Train,Entry,7620
402,2017-03,Albion Park Station,Train,Exit,6390
403,2017-04,Albion Park Station,Train,Entry,6160
404,2017-04,Albion Park Station,Train,Exit,5310
405,2017-05,Albion Park Station,Train,Entry,9960
406,2017-05,Albion Park Station,Train,Exit,9110
407,2017-06,Albion Park Station,Train,Entry,6390
408,2017-06,Albion Park Station,Train,Exit,5500
409,2017-07,Albion Park Station,Train,Entry,6230
410,2017-07,Albion Park Station,Train,Exit,5270
411,2017-08,Albion Park Station,Train,Entry,7130
412,2017-08,Albion Park Station,Train,Exit,6130
413,2017-09,Albion Park Station,Train,Entry,6700
414,2017-09,Albion Park Station,Train,Exit,5660
415,2017-10,Albion Park Station,Train,Entry,7010
416,2017-10,Albion Park Station,Train,Exit,5980
417,2017-11,Albion Park Station,Train,Entry,6850
418,2017-11,Albion Park Station,Train,Exit,5760
419,2017-12,Albion Park Station,Train,Entry,6070
420,2017-12,Albion Park Station,Train,Exit,5050
421,2018-01,Albion Park Station,Train,Entry,5870
422,2018-01,Albion Park Station,Train,Exit,5140
423,2018-02,Albion Park Station,Train,Entry,6640
424,2018-02,Albion Park Station,Train,Exit,5600
425,2018-03,Albion Park Station,Train,Entry,7850
426,2018-03,Albion Park Station,Train,Exit,6780
427,2018-04,Albion Park Station,Train,Entry,7370
428,2018-04,Albion Park Station,Train,Exit,6480
429,2018-05,Albion Park Station,Train,Entry,10700
430,2018-05,Albion Park Station,Train,Exit,9590
431,2018-06,Albion Park Station,Train,Entry,6660
432,2018-06,Albion Park Station,Train,Exit,5640
433,2018-07,Albion Park Station,Train,Entry,6360
434,2018-07,Albion Park Station,Train,Exit,5580
435,2018-08,Albion Park Station,Train,Entry,7230
436,2018-08,Albion Park Station,Train,Exit,6170
437,2018-09,Albion Park Station,Train,Entry,6920
438,2018-09,Albion Park Station,Train,Exit,6040
439,2018-10,Albion Park Station,Train,Entry,7460
440,2018-10,Albion Park Station,Train,Exit,6300
441,2018-11,Albion Park Station,Train,Entry,7770
442,2018-11,Albion Park Station,Train,Exit,6820
443,2018-12,Albion Park Station,Train,Entry,5980
444,2018-12,Albion Park Station,Train,Exit,5000
445,2019-01,Albion Park Station,Train,Entry,6540
446,2019-01,Albion Park Station,Train,Exit,5810
