MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2024-07,Lidcombe Station,Train,Entry,330604
2024-07,Linden Station,Train,Exit,274
2024-07,Linden Station,Train,Entry,319
2024-07,Lindfield Station,Train,Exit,81450
2024-07,Lindfield Station,Train,Entry,82194
2024-07,Lisarow Station,Train,Exit,2710
2024-07,Lisarow Station,Train,Entry,2998
2024-07,Lithgow Station,Train,Exit,5421
2024-07,Lithgow Station,Train,Entry,6017
2024-07,Liverpool Station,Train,Exit,211142
2024-07,Liverpool Station,Train,Entry,213178
2024-07,Lochinvar Station,Train,Exit,Less than 50
2024-07,Lochinvar Station,Train,Entry,Less than 50
2024-07,Loftus Station,Train,Exit,6321
2024-07,Loftus Station,Train,Entry,6859
2024-07,Lysaghts Station,Train,Exit,Less than 50
2024-07,Lysaghts Station,Train,Entry,Less than 50
2024-07,Macarthur Station,Train,Exit,71516
2024-07,Macarthur Station,Train,Entry,72770
2024-07,Macdonaldtown Station,Train,Exit,24282
2024-07,Macdonaldtown Station,Train,Entry,24550
2024-07,Macquarie Fields Station,Train,Exit,19577
2024-07,Macquarie Fields Station,Train,Entry,21322
2024-07,Macquarie Park Station,Metro,Exit,83069
2024-07,Macquarie Park Station,Metro,Entry,83136
2024-07,Macquarie University Station,Metro,Exit,297087
2024-07,Macquarie University Station,Metro,Entry,291572
2024-07,Maitland Station,Train,Exit,7073
2024-07,Maitland Station,Train,Entry,8035
2024-07,Marayong Station,Train,Exit,23431
2024-07,Marayong Station,Train,Entry,25554
2024-07,Marrickville Station,Train,Exit,87937
2024-07,Marrickville Station,Train,Entry,89818
2024-07,Martin Place Station,Train,Exit,438709
2024-07,Martin Place Station,Train,Entry,384465
2024-07,Martins Creek Station,Train,Exit,Less than 50
2024-07,Martins Creek Station,Train,Entry,Less than 50
2024-07,Marulan Station,Train,Exit,54
2024-07,Marulan Station,Train,Entry,68
2024-07,Mascot Station,Train,Exit,401480
2024-07,Mascot Station,Train,Entry,399110
2024-07,Meadowbank Station,Train,Exit,110898
2024-07,Meadowbank Station,Train,Entry,120921
2024-07,Medlow Bath Station,Train,Exit,788
2024-07,Medlow Bath Station,Train,Entry,975
2024-07,Menangle Park Station,Train,Exit,412
2024-07,Menangle Park Station,Train,Entry,377
2024-07,Menangle Station,Train,Exit,323
2024-07,Menangle Station,Train,Entry,298
