sa2_name,pop_density
Emu Plains - Leonay,1002.5
Glenmore Park - Regentville,2303.7
Jamisontown - South Penrith,1950.4
Kingswood - Werrington,1940.1
Mulgoa - Luddenham - Orchard Hills,82.7
Penrith,1908.0
Warragamba - Silverdale,115.0
Cranebrook - Castlereagh,354.3
Jordan Springs - Llandilo,675.9
Richmond - Clarendon,218.4
Windsor - Bligh Park,679.0
Yarramundi - Londonderry,94.4
Erskine Park,769.4
St Clair,2828.8
Colyton - Oxley Park,2944.3
St Marys - North St Marys,1446.2
Rookwood Cemetery,1.7
Auburn - Central,5701.9
Auburn - North,5731.2
Auburn - South,3837.5
Berala,4248.3
Lidcombe,3739.9
Regents Park,2608.1
Silverwater - Newington,2359.7
Wentworth Point - Sydney Olympic Park,3210.1
Ermington - Rydalmere,2685.1
Oatlands - Dundas Valley,3171.3
Carlingford - East,3215.8
Carlingford - West,3424.3
Chester Hill - Sefton,2985.0
Fairfield - East,2837.4
Granville - Clyde,4451.4
Guildford - South Granville,3500.0
Guildford West - Merrylands West,4492.6
Smithfield Industrial,3.0
Yennora Industrial,6.3
Greystanes - South,2994.7
Merrylands - Holroyd,5210.9
Pemulwuy - Greystanes (North),1495.0
South Wentworthville,4319.7
North Parramatta,3346.1
North Rocks,1616.8
Northmead,3658.5
Toongabbie - Constitution Hill,3186.8
Winston Hills,2577.6
Pendle Hill - Girraween,3211.5
Wentworthville - Westmead,6013.5
Parramatta - North,6450.8
Parramatta - South,8004.5
Rosehill - Harris Park,2067.5
Pennant Hills - Cheltenham,1666.0
Epping (East) - North Epping,3555.4
Epping (NSW) - West,4370.2
Gladesville - Huntleys Point,3403.8
Hunters Hill - Woolwich,2443.4
Macquarie Park - Marsfield,2626.1
North Ryde - East Ryde,2613.3
West Ryde - Meadowbank,4554.6
Putney,2751.7
Denistone,2826.4
Eastwood,3783.1
Ryde - North,3766.7
Ryde - South,8366.3
Ashcroft - Busby - Miller,3335.9
Austral - Greendale,175.5
